epoche	train err	probe err	elapsed time
504	0.562710	1.196838	0.266844
505	0.562707	1.196805	0.277963
506	0.562705	1.196772	0.267324
507	0.562702	1.196739	0.267683
508	0.562700	1.196706	0.267234
509	0.562698	1.196673	0.281246
510	0.562695	1.196640	0.268521
511	0.562693	1.196608	0.269377
512	0.562691	1.196575	0.268600
513	0.562688	1.196542	0.289172
514	0.562686	1.196509	0.269062
515	0.562683	1.196476	0.268061
516	0.562681	1.196444	0.282743
517	0.562679	1.196411	0.268801
518	0.562677	1.196379	0.270138
519	0.562674	1.196346	0.270472
520	0.562672	1.196313	0.286222
521	0.562670	1.196281	0.268665
522	0.562667	1.196248	0.268400
523	0.562665	1.196216	0.269610
524	0.562663	1.196184	0.290093
525	0.562661	1.196151	0.270381
526	0.562658	1.196119	0.270601
527	0.562656	1.196087	0.283306
528	0.562654	1.196054	0.268765
529	0.562652	1.196022	0.268212
530	0.562649	1.195990	0.268785
531	0.562647	1.195958	0.283641
532	0.562645	1.195925	0.269708
533	0.562643	1.195893	0.268211
534	0.562641	1.195861	0.268630
535	0.562638	1.195829	0.294799
536	0.562636	1.195797	0.267662
537	0.562634	1.195765	0.267652
538	0.562632	1.195733	0.281843
539	0.562630	1.195701	0.269070
540	0.562627	1.195669	0.267274
541	0.562625	1.195638	0.267052
542	0.562623	1.195606	0.279167
543	0.562621	1.195574	0.267987
544	0.562619	1.195542	0.268640
545	0.562617	1.195511	0.267640
546	0.562615	1.195479	0.285126
547	0.562613	1.195447	0.268070
548	0.562610	1.195416	0.267586
549	0.562608	1.195384	0.277270
550	0.562606	1.195352	0.274735
551	0.562604	1.195321	0.269748
552	0.562602	1.195289	0.267757
553	0.562600	1.195258	0.280032
554	0.562598	1.195226	0.270605
555	0.562596	1.195195	0.270358
556	0.562594	1.195164	0.270468
557	0.562592	1.195132	0.291668
558	0.562590	1.195101	0.270875
559	0.562588	1.195070	0.268207
560	0.562586	1.195038	0.277616
561	0.562584	1.195007	0.268884
562	0.562582	1.194976	0.267273
563	0.562580	1.194945	0.267143
564	0.562578	1.194914	0.285083
565	0.562576	1.194883	0.270058
566	0.562574	1.194852	0.268199
567	0.562572	1.194821	0.268126
568	0.562570	1.194790	0.293628
569	0.562568	1.194759	0.267924
570	0.562566	1.194728	0.267504
571	0.562564	1.194697	0.282860
572	0.562562	1.194666	0.268755
573	0.562560	1.194635	0.272671
574	0.562558	1.194604	0.269854
575	0.562556	1.194573	0.277484
576	0.562554	1.194543	0.269983
577	0.562552	1.194512	0.270620
578	0.562550	1.194481	0.267910
579	0.562548	1.194451	0.285707
580	0.562546	1.194420	0.269582
581	0.562544	1.194389	0.268319
582	0.562542	1.194359	0.280211
583	0.562540	1.194328	0.270435
584	0.562539	1.194298	0.270261
585	0.562537	1.194267	0.267196
586	0.562535	1.194237	0.281877
587	0.562533	1.194206	0.269019
588	0.562531	1.194176	0.267935
589	0.562529	1.194145	0.268334
590	0.562527	1.194115	0.291957
591	0.562525	1.194085	0.270425
592	0.562524	1.194055	0.271555
593	0.562522	1.194024	0.282552
594	0.562520	1.193994	0.271746
595	0.562518	1.193964	0.268169
596	0.562516	1.193934	0.269776
597	0.562514	1.193904	0.284590
598	0.562513	1.193873	0.270997
599	0.562511	1.193843	0.269953
600	0.562509	1.193813	0.276515
601	0.562507	1.193783	0.286303
602	0.562505	1.193753	0.268032
603	0.562504	1.193723	0.269169
604	0.562502	1.193693	0.278373
605	0.562500	1.193663	0.271350
606	0.562498	1.193634	0.270404
607	0.562496	1.193604	0.272685
608	0.562495	1.193574	0.309724
609	0.562493	1.193544	0.305103
610	0.562491	1.193514	0.271898
611	0.562489	1.193485	0.291349
612	0.562488	1.193455	0.268381
613	0.562486	1.193425	0.278786
614	0.562484	1.193396	0.267452
615	0.562482	1.193366	0.283874
616	0.562481	1.193336	0.270366
617	0.562479	1.193307	0.267976
618	0.562477	1.193277	0.273470
619	0.562475	1.193248	0.269514
620	0.562474	1.193218	0.267713
621	0.562472	1.193189	0.266685
622	0.562470	1.193159	0.287374
623	0.562469	1.193130	0.268311
624	0.562467	1.193101	0.270317
625	0.562465	1.193071	0.269098
626	0.562463	1.193042	0.277792
627	0.562462	1.193013	0.270233
628	0.562460	1.192983	0.269740
629	0.562458	1.192954	0.274615
630	0.562457	1.192925	0.276588
631	0.562455	1.192896	0.269964
632	0.562453	1.192867	0.268458
633	0.562452	1.192837	0.286680
634	0.562450	1.192808	0.269538
635	0.562448	1.192779	0.269000
636	0.562447	1.192750	0.268106
637	0.562445	1.192721	0.283331
638	0.562443	1.192692	0.270954
639	0.562442	1.192663	0.270340
